('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         628026 function calls (605749 primitive calls) in 1.123 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      146    0.539    0.004    0.539    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.040    0.040    0.040    0.040 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {method 'connect' of '_socket.socket' objects}
 3441/231    0.028    0.000    0.084    0.000 sre_parse.py:469(_parse)
      242    0.023    0.000    0.023    0.000 {built-in method marshal.loads}
        1    0.018    0.018    0.018    0.018 {built-in method _scproxy._get_proxies}
 4476/192    0.015    0.000    0.045    0.000 sre_compile.py:71(_compile)
      998    0.014    0.000    0.019    0.000 sre_compile.py:276(_optimize_charset)
       25    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
  766/763    0.012    0.000    0.108    0.000 {built-in method builtins.__build_class__}
    11724    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
     1222    0.010    0.000    0.056    0.000 parser.py:301(parse_starttag)
70212/70202    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
    23571    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
    25710    0.009    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
 4752/641    0.008    0.000    0.011    0.000 sre_parse.py:174(getwidth)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.007    0.004    0.092    0.046 parser.py:134(goahead)
     1211    0.007    0.000    0.007    0.000 {built-in method posix.stat}
56985/51471    0.007    0.000    0.008    0.000 {built-in method builtins.len}
      242    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    64260    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     1223    0.006    0.000    0.016    0.000 element.py:1152(__init__)
 1358/193    0.006    0.000    0.085    0.000 sre_parse.py:411(_parse_sub)
    322/1    0.006    0.000    1.123    1.123 {built-in method builtins.exec}
    15493    0.005    0.000    0.011    0.000 sre_parse.py:254(get)
      582    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      928    0.004    0.000    0.008    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
        1    0.004    0.004    0.031    0.031 dammit.py:2313(_populate_class_variables)
      855    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x10f688d50}
     2935    0.004    0.000    0.012    0.000 element.py:2060(search_tag)
     1222    0.004    0.000    0.026    0.000 __init__.py:691(handle_starttag)
     3330    0.004    0.000    0.006    0.000 typing.py:709(__setattr__)
      156    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1223    0.004    0.000    0.004    0.000 __init__.py:541(pushTag)
     1222    0.004    0.000    0.031    0.000 _htmlparser.py:119(handle_starttag)
     3569    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    11954    0.003    0.000    0.006    0.000 sre_parse.py:249(match)
     1155    0.003    0.000    0.018    0.000 parser.py:386(parse_endtag)
     1222    0.003    0.000    0.006    0.000 __init__.py:657(_popToTag)
     3939    0.003    0.000    0.017    0.000 element.py:2123(search)
    10319    0.003    0.000    0.004    0.000 sre_parse.py:160(__len__)
1561/1511    0.003    0.000    0.020    0.000 typing.py:248(inner)
       23    0.003    0.000    0.006    0.000 enum.py:140(__new__)
9992/9969    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
    11298    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     4762    0.003    0.000    0.004    0.000 _markupbase.py:48(updatepos)
      106    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     2047    0.003    0.000    0.003    0.000 element.py:158(setup)
      790    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      242    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      334    0.002    0.000    0.145    0.000 re.py:273(_compile)
      242    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3083    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     9389    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     4414    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
1637/1607    0.002    0.000    0.006    0.000 element.py:2156(_matches)
        1    0.002    0.002    0.003    0.003 {built-in method _socket.getaddrinfo}
     1222    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     5062    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
       39    0.002    0.000    0.021    0.001 element.py:780(_find_all)
     2449    0.002    0.000    0.007    0.000 __init__.py:555(endData)
     5200    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
    11722    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2795    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
      270    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     6193    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
      288    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:882(_find_spec)
