('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540646 function calls (521848 primitive calls) in 1.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59707    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
    58645    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
50678/45955    0.005    0.000    0.007    0.000 {built-in method builtins.len}
    23000    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    21911    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    14748    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
    11735    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
    11175    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    10355    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
    10168    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9422    0.003    0.000    0.003    0.000 sre_parse.py:160(__len__)
8702/7767    0.002    0.000    0.141    0.000 {built-in method builtins.hasattr}
     8064    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
     7717    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7533    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     6375    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6174    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5804    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     5198    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5024    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4762    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
     4604    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     4341    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4309    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     4072    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     3988    0.001    0.000    0.001    0.000 element.py:1882(descendants)
     3939    0.003    0.000    0.017    0.000 element.py:2123(search)
     3928    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
 3927/189    0.013    0.000    0.033    0.000 sre_compile.py:71(_compile)
 3922/357    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
     3647    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3601    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
3399/3331    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
 3199/198    0.024    0.000    0.070    0.000 sre_parse.py:469(_parse)
     3013    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3013    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
     2935    0.004    0.000    0.012    0.000 element.py:2060(search_tag)
     2805    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2449    0.002    0.000    0.006    0.000 __init__.py:555(endData)
     2421    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     2396    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2342    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2342    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2047    0.002    0.000    0.002    0.000 element.py:158(setup)
     1813    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1718    0.001    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
     1696    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1686    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1675    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
1637/1607    0.002    0.000    0.006    0.000 element.py:2156(_matches)
     1533    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1365    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1341    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1304    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
1273/1203    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1223    0.003    0.000    0.003    0.000 __init__.py:541(pushTag)
     1223    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
     1223    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
     1223    0.006    0.000    0.014    0.000 element.py:1152(__init__)
     1222    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     1222    0.003    0.000    0.006    0.000 __init__.py:657(_popToTag)
     1222    0.004    0.000    0.022    0.000 __init__.py:691(handle_starttag)
     1222    0.001    0.000    0.012    0.000 __init__.py:729(handle_endtag)
     1222    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
     1222    0.003    0.000    0.027    0.000 _htmlparser.py:119(handle_starttag)
     1222    0.001    0.000    0.013    0.000 _htmlparser.py:171(handle_endtag)
     1222    0.009    0.000    0.050    0.000 parser.py:301(parse_starttag)
     1222    0.001    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     1222    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
