('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540540 function calls (521758 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.503    0.003    0.503    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.092    0.092    0.092    0.092 {method 'recv_into' of '_socket.socket' objects}
        2    0.076    0.038    0.076    0.038 {method 'connect' of '_socket.socket' objects}
        1    0.039    0.039    0.039    0.039 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        3    0.025    0.008    0.025    0.008 {built-in method _socket.gethostbyname}
 3199/198    0.023    0.000    0.068    0.000 sre_parse.py:469(_parse)
      151    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
 3927/189    0.013    0.000    0.032    0.000 sre_compile.py:71(_compile)
       21    0.012    0.001    0.012    0.001 {built-in method _imp.create_dynamic}
    11735    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    21911    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
     1222    0.008    0.000    0.045    0.000 parser.py:301(parse_starttag)
    59691    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
      505    0.007    0.000    0.083    0.000 {built-in method builtins.__build_class__}
    22984    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
      877    0.007    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.006    0.003    0.075    0.038 parser.py:134(goahead)
 3922/357    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     1223    0.005    0.000    0.013    0.000 element.py:1152(__init__)
50645/45938    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    58629    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
 1199/190    0.005    0.000    0.069    0.000 sre_parse.py:411(_parse_sub)
     2935    0.004    0.000    0.012    0.000 element.py:2060(search_tag)
      853    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    14748    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
        1    0.004    0.004    0.028    0.028 dammit.py:2313(_populate_class_variables)
        3    0.004    0.001    0.004    0.001 {built-in method _scproxy._get_proxy_settings}
      151    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     3939    0.003    0.000    0.017    0.000 element.py:2123(search)
     1222    0.003    0.000    0.020    0.000 __init__.py:691(handle_starttag)
      451    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      708    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1084d3d50}
     1222    0.003    0.000    0.024    0.000 _htmlparser.py:119(handle_starttag)
     3601    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       32    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    10355    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     1155    0.003    0.000    0.016    0.000 parser.py:386(parse_endtag)
     1223    0.003    0.000    0.003    0.000 __init__.py:541(pushTag)
      928    0.003    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
     1222    0.003    0.000    0.005    0.000 __init__.py:657(_popToTag)
     9406    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
1637/1607    0.002    0.000    0.006    0.000 element.py:2156(_matches)
       39    0.002    0.000    0.022    0.001 element.py:780(_find_all)
    10168    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     4762    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
      787    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2047    0.002    0.000    0.002    0.000 element.py:158(setup)
8702/7767    0.002    0.000    0.027    0.000 {built-in method builtins.hasattr}
     2342    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1222    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
       92    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      336    0.002    0.000    0.116    0.000 re.py:273(_compile)
     4604    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
      151    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.002    0.001    0.002    0.001 {built-in method _socket.getaddrinfo}
     5198    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
    11175    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5804    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     2449    0.002    0.000    0.005    0.000 __init__.py:555(endData)
     2805    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     7533    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       13    0.001    0.000    0.003    0.000 enum.py:140(__new__)
     4072    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
        2    0.001    0.001    0.002    0.001 connectionpool.py:483(close)
      989    0.001    0.000    0.002    0.000 typing.py:709(__setattr__)
     2342    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      151    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      877    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      266    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
  199/161    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1222    0.001    0.000    0.004    0.000 parser.py:352(check_for_whole_start_tag)
    166/1    0.001    0.000    1.093    1.093 {built-in method builtins.exec}
     1222    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
      124    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     6375    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    203/3    0.001    0.000    0.229    0.076 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.001    0.001    0.001    0.001 models.py:845(text)
     4341    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4309    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      189    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      189    0.001    0.000    0.112    0.001 sre_compile.py:759(compile)
     1063    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
3399/3331    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3647    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1222    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
     3988    0.001    0.000    0.001    0.000 element.py:1882(descendants)
      196    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     8064    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
     1675    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1718    0.001    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
     7717    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      412    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     3013    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3013    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1341    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      179    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      875    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      793    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
     6174    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    179/3    0.001    0.000    0.228    0.076 <frozen importlib._bootstrap>:663(_load_unlocked)
       13    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
     1222    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      983    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     2468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    202/3    0.001    0.000    0.229    0.076 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      189    0.001    0.000    0.070    0.000 sre_parse.py:913(parse)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     3928    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    75/21    0.001    0.000    0.126    0.006 {method 'join' of 'bytes' objects}
      266    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
     5024    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      189    0.001    0.000    0.001    0.000 enum.py:841(__and__)
      875    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      136    0.001    0.000    0.003    0.000 typing.py:608(__init__)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
       33    0.000    0.000    0.003    0.000 response.py:85(decompress)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      179    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     2421    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1223    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      425    0.000    0.000    0.001    0.000 os.py:676(__getitem__)
      412    0.000    0.000    0.002    0.000 element.py:932(__new__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
     1696    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      423    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  606/589    0.000    0.000    0.004    0.000 typing.py:248(inner)
      255    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      595    0.000    0.000    0.004    0.000 enum.py:289(__call__)
     1813    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
    151/3    0.000    0.000    0.228    0.076 <frozen importlib._bootstrap_external>:722(exec_module)
1273/1203    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      189    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      198    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
     1155    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      335    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      870    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
     1222    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      145    0.000    0.000    0.597    0.004 socket.py:575(readinto)
      585    0.000    0.000    0.001    0.000 enum.py:531(__new__)
  613/583    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
     2396    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      151    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      846    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1223    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      989    0.000    0.000    0.001    0.000 typing.py:595(_is_dunder)
      543    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      189    0.000    0.000    0.040    0.000 sre_compile.py:598(_code)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      179    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       54    0.000    0.000    0.111    0.002 {method 'read' of '_io.BufferedReader' objects}
  211/175    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      412    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
  502/306    0.000    0.000    0.128    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
     1686    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      170    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
     1365    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      953    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      979    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      189    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      861    0.000    0.000    0.000    0.000 element.py:1456(get)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      414    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
       13    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      366    0.000    0.000    0.000    0.000 types.py:164(__get__)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       97    0.000    0.000    0.001    0.000 enum.py:835(__or__)
      435    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      610    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      323    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      163    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1533    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      144    0.000    0.000    0.504    0.003 ssl.py:1060(recv_into)
      711    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1304    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      410    0.000    0.000    0.000    0.000 os.py:699(__iter__)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      144    0.000    0.000    0.504    0.003 ssl.py:920(read)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      747    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        5    0.000    0.000    0.002    0.000 request.py:2489(getproxies_environment)
      808    0.000    0.000    0.000    0.000 os.py:758(decode)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
      610    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      425    0.000    0.000    0.000    0.000 os.py:754(encode)
      142    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
