uid,labname,numTrials,timestamp
user_4,project1,1,2020-04-17 05:19:02.744528
user_4,project1,2,2020-04-17 05:22:45.549397
user_4,project1,3,2020-04-17 05:34:24.422370
user_4,project1,4,2020-04-17 05:43:27.773992
user_4,project1,5,2020-04-17 05:46:32.275104
user_4,project1,6,2020-04-17 05:50:27.860908
user_4,project1,7,2020-04-17 05:52:56.335091
user_4,laba04,1,2020-04-17 11:33:17.366400
user_4,laba04,2,2020-04-17 11:40:05.237273
user_4,laba04,3,2020-04-17 11:44:20.707058
user_4,laba04s,1,2020-04-17 11:48:41.992466
user_4,laba04s,2,2020-04-17 11:50:11.456634
user_4,laba04s,3,2020-04-17 12:46:12.054682
user_17,project1,1,2020-04-18 07:56:45.408648
user_30,laba04,1,2020-04-18 13:36:53.971502
user_2,laba04,1,2020-04-18 13:42:35.482008
user_2,laba04s,1,2020-04-18 13:51:22.291271
user_2,laba04s,2,2020-04-18 13:53:17.423114
user_2,laba04s,3,2020-04-18 14:30:59.279089
user_30,laba04s,1,2020-04-18 14:51:37.498399
user_2,laba04s,4,2020-04-18 15:13:27.655666
user_14,laba04,1,2020-04-18 15:14:00.312338
user_14,laba04,2,2020-04-18 15:20:33.198766
user_14,laba04,3,2020-04-18 15:24:12.047491
user_14,laba04,4,2020-04-18 15:24:53.299514
user_14,laba04,5,2020-04-18 15:30:17.096916
user_14,laba04,6,2020-04-18 15:33:14.440380
user_2,laba04s,5,2020-04-18 15:33:20.565406
user_14,laba04,7,2020-04-18 15:34:22.274256
user_14,laba04,8,2020-04-18 15:35:48.841969
user_14,laba04,9,2020-04-18 15:45:13.236352
user_14,laba04,10,2020-04-18 15:46:15.473674
user_14,laba04,11,2020-04-18 15:49:49.293560
user_12,laba04,1,2020-04-18 17:07:51.767358
user_12,laba04,2,2020-04-18 17:32:52.474915
user_12,laba04,3,2020-04-18 17:34:09.414675
user_12,laba04,4,2020-04-18 17:38:05.714027
user_14,laba04,12,2020-04-18 18:10:35.687654
user_2,laba04s,6,2020-04-18 18:12:36.913229
user_14,laba04,13,2020-04-18 18:47:11.295818
user_14,laba04,14,2020-04-18 18:58:31.263729
user_14,laba04,15,2020-04-18 19:25:59.869852
user_14,laba04,16,2020-04-18 19:38:12.034655
user_2,laba04s,7,2020-04-18 19:51:12.195982
user_14,laba04,17,2020-04-18 20:01:14.446476
user_14,laba04,18,2020-04-18 20:01:24.594980
user_2,laba04s,8,2020-04-18 21:30:51.210546
user_14,laba04,19,2020-04-18 21:42:46.277260
user_8,laba04,1,2020-04-18 21:53:36.058389
user_14,laba04s,1,2020-04-18 22:30:30.247628
user_14,laba04s,2,2020-04-18 22:31:47.891803
user_14,laba04s,3,2020-04-18 22:34:00.329787
user_14,laba04s,4,2020-04-19 00:23:16.647685
user_2,laba04s,9,2020-04-19 05:29:40.744326
user_14,laba04s,5,2020-04-19 09:09:11.975322
user_14,laba04s,6,2020-04-19 10:06:52.904266
user_8,laba04,2,2020-04-19 10:08:25.007910
user_8,laba04s,1,2020-04-19 10:22:35.761944
user_8,laba04s,2,2020-04-19 10:49:11.701230
user_29,laba04,1,2020-04-19 11:10:55.722647
user_8,laba04s,3,2020-04-19 11:14:41.571331
user_8,laba04s,4,2020-04-19 11:37:32.410857
user_8,laba04s,5,2020-04-19 13:27:18.287766
user_8,laba04s,6,2020-04-19 13:32:39.358479
user_29,laba04s,1,2020-04-19 18:55:41.516438
user_29,laba04s,2,2020-04-19 18:56:05.607729
user_4,project1,8,2020-04-19 21:31:52.735404
user_4,project1,9,2020-04-19 21:37:36.292793
user_4,project1,10,2020-04-19 21:42:53.962774
user_4,project1,11,2020-04-19 21:46:08.395123
user_22,laba04,1,2020-04-20 11:16:47.114667
user_22,laba04s,1,2020-04-20 11:18:04.063308
user_16,laba04,1,2020-04-20 14:51:39.981342
